model;train_r2;test_r2;train_mse;test_mse
sr;0.712345293543277;0.8598684966843289;17194279.80124889;5580358.087921752
mr;0.9432010353696477;0.8752466047580355;3395102.768542553;4967966.529024894
pr;0.7246151784280663;0.8709353953828536;16460859.387458714;5139648.781311344
omr;0.9333510481864479;0.9144819961265033;3983876.155054604;3405523.19276391
