model;train_r2;test_r2;train_mse;test_mse
sr;0.712345293543277;0.8598684966843289;17194279.80124889;5580358.087921752
mr;0.9432010353696477;0.8752466047580034;3395102.768542555;4967966.529026171
pr;0.7246151784280663;0.8709353953828536;16460859.387458714;5139648.781311343
omr;0.9333510897467676;0.9144832950269977;3983873.670826982;3405471.4675650247
