model;train_r2;test_r2;train_mse;test_mse
sr;0.7123452935432769;0.8598684966843289;17194279.80124889;5580358.087921752
mr;0.9432010353696476;0.8752466047580355;3395102.7685425533;4967966.529024893
pr;0.7246151784280663;0.8709353953828536;16460859.387458716;5139648.781311343
omr;0.933351048186448;0.9144819961265032;3983876.1550546037;3405523.19276391
sdt;0.8669351419342098;0.8777736219649727;7916376.112619903;4867334.903905718
dt;0.9284674764713187;0.8828203730140474;4255656.743404737;4666361.693970262
rf;0.9719758859534974;0.9084518698548177;1667227.773281674;3645656.66107893
odt;0.928212144522148;0.8869860870982358;4270847.108258278;4500473.398107879
